codigoCliente,cedula,nombre,apellido,Direccion,telefono
88348,7592897516,Hertha,Bowlands,146 Nancy Park,3115282458
32800,2128599137,Markos,Matzel,35 Crownhardt Street,1867283405
19541,8129145034,Flory,Phillis,92542 Pepper Wood Crossing,1930835811
77340,2120615403,Beverie,Hayer,08698 Caliangt Circle,1438060970
12054,7384149054,Benton,Belliss,02653 Independence Way,2568105565
95315,9263501376,Yoshiko,Reddy,66558 Killdeer Pass,953106379
24179,3281701879,Berenice,Verrick,274 Helena Point,2011603277
16527,4956583262,Derrek,Peinke,6 Anthes Center,1089657344
13064,9739267693,Nesta,Pimblotte,2433 Calypso Drive,2747010705
13388,8748647678,Miof mela,McGillacoell,57617 3rd Place,1344462941
80287,65779607,Neville,Blodg,520 Stone Corner Alley,1035572479
42591,1463716318,Benjy,Barraclough,5944 Burning Wood Drive,3077776528
42963,7659110771,Ode,Rainsbury,752 Darwin Trail,1952350928
27285,854481703,Forrest,Piddle,81 American Trail,1607900169
94521,2198751254,Blair,Beany,0 Holy Cross Junction,2581475328
34547,1406759687,Cherey,Fudger,646 Hoepker Lane,2547522491
91612,980946202,Celina,MacConnechie,6 John Wall Road,2019960916
11924,3872743182,Celestine,Sommers,19 Parkside Road,618590210
61300,3985015116,Keary,Karpinski,640 Lotheville Way,908668457
12529,7200517692,Wilona,Unstead,6308 Lien Court,766477401
76571,5985374567,Stacie,Borchardt,3 Bowman Avenue,2143319312
52207,7693639154,Sibella,Buckberry,4407 Daystar Avenue,2161930862
21107,3631581945,Meggy,Bannard,23049 Village Green Trail,2964947974
71233,9543487258,Harrietta,Taveriner,6818 Maple Wood Place,1938108954
36241,5670771804,Eleni,Cary,0 Service Way,1111312069
89074,5794929796,Rockie,Calleja,67850 Washington Trail,479746697
12979,8498494632,Portia,Errichiello,2958 Cordelia Trail,1205762536
27840,6427568982,Shandee,Cornborough,81424 Tony Alley,2996522785
99116,7572221100,Susann,Pidgen,2677 Transport Road,2453681498
20702,2552507265,Say,le Keux,8251 Park Meadow Court,1944326948
